"","RPT_DT","OFNS_DESC","LAW_CAT_CD","BORO_NM","ADDR_PCT_CD","Latitude","Longitude","Lat_Lon","id","address","street_number","route","neighborhood","political","administrative_area_level_2","administrative_area_level_1","country","postal_code","postal_code_suffix","locality"
"73842","09/24/2015","GRAND LARCENY OF MOTOR VEHICLE","FELONY","BRONX",50,40.881978617,-73.907260808,"(40.881978617, -73.907260808)",4850,"3212A Tibbett Ave, Bronx, NY 10463, USA","3212A","Tibbett Avenue","West Bronx","Bronx","Bronx County","New York","United States","10463","3801",NA
"87107","11/09/2015","CRIMINAL MISCHIEF & RELATED OF","MISDEMEANOR","BRONX",43,40.838805984,-73.869175427,"(40.838805984, -73.869175427)",4851,"1525-1529 Commonwealth Ave, Bronx, NY 10460, USA","1525-1529","Commonwealth Avenue","East Bronx","Bronx","Bronx County","New York","United States","10460",NA,NA
"31068","05/07/2015","CRIMINAL MISCHIEF & RELATED OF","MISDEMEANOR","BRONX",52,40.866055921,-73.87206119,"(40.866055921, -73.87206119)",4852,"Southern Blvd, Bronx, NY 10467, USA",NA,"Southern Boulevard",NA,"Bronx","Bronx County","New York","United States","10467",NA,NA
"71117","09/14/2015","PETIT LARCENY","MISDEMEANOR","BRONX",52,40.869470477,-73.879860804,"(40.869470477, -73.879860804)",4853,"3016 Webster Ave, Bronx, NY 10467, USA","3016","Webster Avenue","West Bronx","Bronx","Bronx County","New York","United States","10467","4901",NA
"62369","08/17/2015","GRAND LARCENY","FELONY","BRONX",40,40.810398494,-73.924895311,"(40.810398494, -73.924895311)",4854,"262-268 Alexander Ave, Bronx, NY 10454, USA","262-268","Alexander Avenue","West Bronx","Bronx","Bronx County","New York","United States","10454",NA,NA
"53046","07/20/2015","HARRASSMENT 2","VIOLATION","BRONX",43,40.827243034,-73.86964983,"(40.827243034, -73.86964983)",4855,"1709-1711 Watson Ave, Bronx, NY 10472, USA","1709-1711","Watson Avenue","East Bronx","Bronx","Bronx County","New York","United States","10472",NA,NA
"74214","09/24/2015","FELONY ASSAULT","FELONY","BRONX",40,40.816851292,-73.902795838,"(40.816851292, -73.902795838)",4856,"735 Prospect Ave, Bronx, NY 10455, USA","735","Prospect Avenue","West Bronx","Bronx","Bronx County","New York","United States","10455",NA,NA
"41676","06/11/2015","OFFENSES AGAINST PUBLIC ADMINI","MISDEMEANOR","BRONX",52,40.869470477,-73.879860804,"(40.869470477, -73.879860804)",4857,"3016 Webster Ave, Bronx, NY 10467, USA","3016","Webster Avenue","West Bronx","Bronx","Bronx County","New York","United States","10467","4901",NA
"93084","11/30/2015","HARRASSMENT 2","VIOLATION","BRONX",41,40.823876276,-73.891862968,"(40.823876276, -73.891862968)",4858,"1035-1039 La 65 de Infantería, Bronx, NY 10459, USA","1035-1039","La 65 de Infantería","West Bronx","Bronx","Bronx County","New York","United States","10459",NA,NA
"16892","03/14/2015","GRAND LARCENY","FELONY","BRONX",43,40.828628018,-73.878705981,"(40.828628018, -73.878705981)",4859,"1520-1528 Westchester Ave, Bronx, NY 10472, USA","1520-1528","Westchester Avenue","East Bronx","Bronx","Bronx County","New York","United States","10472",NA,NA
"52604","07/17/2015","FELONY ASSAULT","FELONY","BRONX",44,40.835071256,-73.930038774,"(40.835071256, -73.930038774)",4860,"1068 Dr Martin Luther King Jr Blvd, Bronx, NY 10452, USA","1068","Doctor Martin Luther King Junior Boulevard","West Bronx","Bronx","Bronx County","New York","United States","10452",NA,NA
"37525","05/27/2015","DANGEROUS WEAPONS","MISDEMEANOR","BRONX",40,40.821508422,-73.908703582,"(40.821508422, -73.908703582)",4861,"844 Eagle Ave, Bronx, NY 10456, USA","844","Eagle Avenue","West Bronx","Bronx","Bronx County","New York","United States","10456",NA,NA
"4384","01/20/2015","FRAUDS","MISDEMEANOR","BRONX",41,40.816087661,-73.895824354,"(40.816087661, -73.895824354)",4862,"1035-1059 Peace Officers Memorial Ln, Bronx, NY 10459, USA","1035-1059","Peace Officers Memorial Lane","West Bronx","Bronx","Bronx County","New York","United States","10459","5204",NA
"46503","06/27/2015","OFFENSES AGAINST PUBLIC ADMINI","MISDEMEANOR","BRONX",48,40.855654882,-73.886497404,"(40.855654882, -73.886497404)",4863,"2401-2449 Hughes Ave, Bronx, NY 10458, USA","2401-2449","Hughes Avenue","West Bronx","Bronx","Bronx County","New York","United States","10458",NA,NA
"40801","06/08/2015","FELONY ASSAULT","FELONY","BRONX",43,40.825462558,-73.870401262,"(40.825462558, -73.870401262)",4864,"1023-1029 Sound View Ave, Bronx, NY 10472, USA","1023-1029","Sound View Avenue","East Bronx","Bronx","Bronx County","New York","United States","10472",NA,NA
"22681","04/10/2015","GRAND LARCENY","FELONY","BRONX",45,40.814499585,-73.820795458,"(40.814499585, -73.820795458)",4865,"200 Huntington Ave, Bronx, NY 10465, USA","200","Huntington Avenue","East Bronx","Bronx","Bronx County","New York","United States","10465","3259",NA
"59349","08/12/2015","MISCELLANEOUS PENAL LAW","FELONY","BRONX",43,40.837523663,-73.85495359,"(40.837523663, -73.85495359)",4866,"2065 St Raymonds Ave, Bronx, NY 10462, USA","2065","Saint Raymonds Avenue","East Bronx","Bronx","Bronx County","New York","United States","10462",NA,NA
"50389","07/10/2015","ASSAULT 3 & RELATED OFFENSES","MISDEMEANOR","BRONX",41,40.826798975,-73.891410165,"(40.826798975, -73.891410165)",4867,"966-968 E 167th St, Bronx, NY 10459, USA","966-968","East 167th Street","West Bronx","Bronx","Bronx County","New York","United States","10459",NA,NA
"95778","12/10/2015","HARRASSMENT 2","VIOLATION","BRONX",47,40.889944876,-73.819977228,"(40.889944876, -73.819977228)",4868,"4330 Boston Rd, Bronx, NY 10475, USA","4330","Boston Road","East Bronx","Bronx","Bronx County","New York","United States","10475","1111",NA
"55795","08/20/2015","HARRASSMENT 2","VIOLATION","BRONX",48,40.85912007,-73.887901373,"(40.85912007, -73.887901373)",4869,"2500 Bathgate Ave, Bronx, NY 10458, USA","2500","Bathgate Avenue","West Bronx","Bronx","Bronx County","New York","United States","10458","5983",NA
"72394","09/18/2015","PETIT LARCENY","MISDEMEANOR","BRONX",44,40.844483488,-73.914650083,"(40.844483488, -73.914650083)",4870,"1581 Jerome Ave, Bronx, NY 10452, USA","1581","Jerome Avenue","West Bronx","Bronx","Bronx County","New York","United States","10452",NA,NA
"8961","02/09/2015","PETIT LARCENY","MISDEMEANOR","BRONX",40,40.805225863,-73.914747379,"(40.805225863, -73.914747379)",4871,"220-232 Cypress Ave, Bronx, NY 10454, USA","220-232","Cypress Avenue","West Bronx","Bronx","Bronx County","New York","United States","10454",NA,NA
"100571","12/30/2015","ASSAULT 3 & RELATED OFFENSES","MISDEMEANOR","BRONX",46,40.862013514,-73.894277397,"(40.862013514, -73.894277397)",4872,"327 Avenida Carlos D. Ramirez, Bronx, NY 10458, USA","327","Avenida Carlos D. Ramirez","West Bronx","Bronx","Bronx County","New York","United States","10458",NA,NA
"31964","05/09/2015","DANGEROUS WEAPONS","MISDEMEANOR","BRONX",40,40.818413984,-73.907277131,"(40.818413984, -73.907277131)",4873,"694-710 E 156th St, Bronx, NY 10455, USA","694-710","East 156th Street","West Bronx","Bronx","Bronx County","New York","United States","10455",NA,NA
"24590","04/13/2015","PETIT LARCENY","MISDEMEANOR","BRONX",45,40.868467378,-73.821582846,"(40.868467378, -73.821582846)",4874,"2270 Bartow Ave, Bronx, NY 10475, USA","2270","Bartow Avenue","East Bronx","Bronx","Bronx County","New York","United States","10475","4618",NA
"31199","05/06/2015","ASSAULT 3 & RELATED OFFENSES","MISDEMEANOR","BRONX",46,40.845871367,-73.917120526,"(40.845871367, -73.917120526)",4875,"1600 Macombs Rd, Bronx, NY 10453, USA","1600","Macombs Road","West Bronx","Bronx","Bronx County","New York","United States","10453",NA,NA
"79300","10/18/2015","GRAND LARCENY","FELONY","BRONX",50,40.870650255,-73.899495599,"(40.870650255, -73.899495599)",4876,"2769 University Ave, Bronx, NY 10468, USA","2769","University Avenue","West Bronx","Bronx","Bronx County","New York","United States","10468",NA,NA
"73106","09/20/2015","ROBBERY","FELONY","BRONX",41,40.821077587,-73.898934576,"(40.821077587, -73.898934576)",4877,"896-902 Westchester Ave, Bronx, NY 10459, USA","896-902","Westchester Avenue","West Bronx","Bronx","Bronx County","New York","United States","10459","4027",NA
"37575","05/29/2015","GRAND LARCENY OF MOTOR VEHICLE","FELONY","BRONX",45,40.844230629,-73.822724906,"(40.844230629, -73.822724906)",4878,"3161 Griswold Ave, Bronx, NY 10465, USA","3161","Griswold Avenue","East Bronx","Bronx","Bronx County","New York","United States","10465","1103",NA
"36633","05/24/2015","PETIT LARCENY","MISDEMEANOR","BRONX",47,40.898621903,-73.867386534,"(40.898621903, -73.867386534)",4879,"4305 Katonah Ave, Bronx, NY 10470, USA","4305","Katonah Avenue","East Bronx","Bronx","Bronx County","New York","United States","10470","2015",NA
"4908","01/22/2015","OFFENSES AGAINST PUBLIC ADMINI","MISDEMEANOR","BRONX",40,40.813630085,-73.910950597,"(40.813630085, -73.910950597)",4880,"643-661 E 149th St, Bronx, NY 10455, USA","643-661","East 149th Street","West Bronx","Bronx","Bronx County","New York","United States","10455",NA,NA
"78000","10/07/2015","ROBBERY","FELONY","BRONX",44,40.836689799,-73.928671032,"(40.836689799, -73.928671032)",4881,"1118-1158 University Ave, Bronx, NY 10452, USA","1118-1158","University Avenue","West Bronx","Bronx","Bronx County","New York","United States","10452",NA,NA
"88388","11/12/2015","INTOXICATED & IMPAIRED DRIVING","MISDEMEANOR","BRONX",45,40.8413785,-73.826086414,"(40.8413785, -73.826086414)",4882,"3087 Coddington Ave, Bronx, NY 10461, USA","3087","Coddington Avenue","East Bronx","Bronx","Bronx County","New York","United States","10461","6042",NA
"88789","11/14/2015","DANGEROUS DRUGS","MISDEMEANOR","BRONX",44,40.834209452,-73.925706819,"(40.834209452, -73.925706819)",4883,"1069 Anderson Ave, Bronx, NY 10452, USA","1069","Anderson Avenue","West Bronx","Bronx","Bronx County","New York","United States","10452",NA,NA
"28275","04/26/2015","MISCELLANEOUS PENAL LAW","FELONY","BRONX",49,40.859601259,-73.865588097,"(40.859601259, -73.865588097)",4884,"2300 Holland Ave, Bronx, NY 10467, USA","2300","Holland Avenue","East Bronx","Bronx","Bronx County","New York","United States","10467",NA,NA
"58972","08/06/2015","ASSAULT 3 & RELATED OFFENSES","MISDEMEANOR","BRONX",44,40.831603926,-73.928799346,"(40.831603926, -73.928799346)",4885,"950-966 Woodycrest Ave, Bronx, NY 10452, USA","950-966","Woodycrest Avenue","Highbridge","Bronx","Bronx County","New York","United States","10452","5402",NA
"19117","03/23/2015","FRAUDS","MISDEMEANOR","BRONX",41,40.819702045,-73.901603017,"(40.819702045, -73.901603017)",4886,"800-832 Prospect Ave, Bronx, NY 10459, USA","800-832","Prospect Avenue","West Bronx","Bronx","Bronx County","New York","United States","10459","3926",NA
"70152","09/12/2015","UNAUTHORIZED USE OF A VEHICLE","MISDEMEANOR","BRONX",42,40.823423869,-73.901583061,"(40.823423869, -73.901583061)",4887,"987 Union Ave, Bronx, NY 10459, USA","987","Union Avenue","West Bronx","Bronx","Bronx County","New York","United States","10459",NA,NA
"55296","07/26/2015","ASSAULT 3 & RELATED OFFENSES","MISDEMEANOR","BRONX",47,40.885451065,-73.863463571,"(40.885451065, -73.863463571)",4888,"657B E 221st St, Bronx, NY 10467, USA","657B","East 221st Street","East Bronx","Bronx","Bronx County","New York","United States","10467",NA,NA
"59429","08/08/2015","HARRASSMENT 2","VIOLATION","BRONX",44,40.832895381,-73.926716496,"(40.832895381, -73.926716496)",4889,"1020-1034 Anderson Ave, Bronx, NY 10452, USA","1020-1034","Anderson Avenue","West Bronx","Bronx","Bronx County","New York","United States","10452",NA,NA
"79791","10/13/2015","HARRASSMENT 2","VIOLATION","BRONX",45,40.841763501,-73.852204827,"(40.841763501, -73.852204827)",4890,"2425 Lyvere St, Bronx, NY 10461, USA","2425","Lyvere Street","East Bronx","Bronx","Bronx County","New York","United States","10461",NA,NA
"28083","04/25/2015","CRIMINAL MISCHIEF & RELATED OF","MISDEMEANOR","BRONX",52,40.88481311,-73.879663104,"(40.88481311, -73.879663104)",4891,"3566B Jerome Ave, Bronx, NY 10467, USA","3566B","Jerome Avenue",NA,"Bronx","Bronx County","New York","United States","10467",NA,NA
"33980","05/15/2015","HARRASSMENT 2","VIOLATION","BRONX",41,40.814394014,-73.886921812,"(40.814394014, -73.886921812)",4892,"1290 Spofford Ave, Bronx, NY 10474, USA","1290","Spofford Avenue","West Bronx","Bronx","Bronx County","New York","United States","10474",NA,NA
"7264","02/02/2015","DANGEROUS DRUGS","FELONY","BRONX",42,40.842969108,-73.901734856,"(40.842969108, -73.901734856)",4893,"4010 Park Ave, Bronx, NY 10457, USA","4010","Park Avenue","West Bronx","Bronx","Bronx County","New York","United States","10457","7318",NA
"27903","04/27/2015","PETIT LARCENY","MISDEMEANOR","BRONX",47,40.880553036,-73.853293882,"(40.880553036, -73.853293882)",4894,"1031 E 219th St, Bronx, NY 10469, USA","1031","East 219th Street","East Bronx","Bronx","Bronx County","New York","United States","10469","1201",NA
"71650","09/17/2015","HARRASSMENT 2","VIOLATION","BRONX",44,40.837511598,-73.910596993,"(40.837511598, -73.910596993)",4895,"1400 College Ave, Bronx, NY 10456, USA","1400","College Avenue","West Bronx","Bronx","Bronx County","New York","United States","10456",NA,NA
