"RPT_DT","OFNS_DESC","LAW_CAT_CD","BORO_NM","ADDR_PCT_CD","Latitude","Longitude","Lat_Lon","PCT_ZIP","Address","id","address","street_number","route","neighborhood","political","administrative_area_level_2","administrative_area_level_1","country","postal_code","postal_code_suffix","locality"
"05/05/2015","CRIMINAL MISCHIEF & RELATED OF","MISDEMEANOR","BRONX",46,40.853587401,-73.900591356,"(40.853587401, -73.900591356)","10457",NA,2411,"2105 Ryer Ave, Bronx, NY 10457, USA","2105","Ryer Avenue","West Bronx","Bronx","Bronx County","New York","United States","10457",NA,NA
"06/20/2015","PETIT LARCENY","MISDEMEANOR","BRONX",49,40.864328139,-73.868405762,"(40.864328139, -73.868405762)","10461",NA,2412,"2541 Olinville Ave, Bronx, NY 10467, USA","2541","Olinville Avenue","East Bronx","Bronx","Bronx County","New York","United States","10467",NA,NA
"10/23/2015","GRAND LARCENY OF MOTOR VEHICLE","FELONY","BRONX",46,40.848404478,-73.906046156,"(40.848404478, -73.906046156)","10457",NA,2413,"1855-1871 Monroe Ave, Bronx, NY 10457, USA","1855-1871","Monroe Avenue","West Bronx","Bronx","Bronx County","New York","United States","10457",NA,NA
"08/07/2015","PETIT LARCENY","MISDEMEANOR","BRONX",44,40.821561287,-73.929254495,"(40.821561287, -73.929254495)","10452",NA,2414,"591-643 River Ave, Bronx, NY 10451, USA","591-643","River Avenue","West Bronx","Bronx","Bronx County","New York","United States","10451","2113",NA
"06/02/2015","ASSAULT 3 & RELATED OFFENSES","MISDEMEANOR","BRONX",44,40.838666958,-73.917754718,"(40.838666958, -73.917754718)","10452",NA,2415,"15-35 Marcy Pl, Bronx, NY 10452, USA","15-35","Marcy Place","West Bronx","Bronx","Bronx County","New York","United States","10452",NA,NA
"10/11/2015","DANGEROUS DRUGS","MISDEMEANOR","BRONX",44,40.842782022,-73.922802276,"(40.842782022, -73.922802276)","10452",NA,2416,"1400-1402 Plimpton Ave, Bronx, NY 10452, USA","1400-1402","Plimpton Avenue","West Bronx","Bronx","Bronx County","New York","United States","10452",NA,NA
"01/30/2015","CRIMINAL TRESPASS","MISDEMEANOR","BRONX",40,40.807199186,-73.918353502,"(40.807199186, -73.918353502)","10454",NA,2417,"527-529 Msgr. Gerald J. Ryan Blvd, Bronx, NY 10454, USA","527-529","Msgr. Gerald J. Ryan Boulevard","West Bronx","Bronx","Bronx County","New York","United States","10454",NA,NA
"06/16/2015","PETIT LARCENY","MISDEMEANOR","BRONX",52,40.861808753,-73.911916427,"(40.861808753, -73.911916427)","10467",NA,2418,"283 W Fordham Rd, Bronx, NY 10468, USA","283","West Fordham Road","West Bronx","Bronx","Bronx County","New York","United States","10468",NA,NA
"09/02/2015","ROBBERY","FELONY","BRONX",46,40.860500578,-73.896636886,"(40.860500578, -73.896636886)","10457",NA,2419,"2437 Valentine Ave, Bronx, NY 10458, USA","2437","Valentine Avenue","West Bronx","Bronx","Bronx County","New York","United States","10458",NA,NA
"12/28/2015","HARRASSMENT 2","VIOLATION","BRONX",45,40.826338494,-73.840083926,"(40.826338494, -73.840083926)","10465",NA,2420,"900 Brush Ave, Bronx, NY 10465, USA","900","Brush Avenue","East Bronx","Bronx","Bronx County","New York","United States","10465",NA,NA
"06/02/2015","PETIT LARCENY","MISDEMEANOR","BRONX",43,40.815967832,-73.862652358,"(40.815967832, -73.862652358)","10473",NA,2421,"530-532 Beach Ave, Bronx, NY 10473, USA","530-532","Beach Avenue","East Bronx","Bronx","Bronx County","New York","United States","10473","3612",NA
"02/16/2015","PETIT LARCENY","MISDEMEANOR","BRONX",40,40.811399561,-73.905238619,"(40.811399561, -73.905238619)","10454",NA,2422,"508 Southern Blvd, Bronx, NY 10455, USA","508","Southern Boulevard","West Bronx","Bronx","Bronx County","New York","United States","10455",NA,NA
"01/30/2015","PETIT LARCENY","MISDEMEANOR","BRONX",45,40.821584683,-73.821415888,"(40.821584683, -73.821415888)","10465",NA,2423,"2829 Dewey Ave, Bronx, NY 10465, USA","2829","Dewey Avenue","Throgs Neck","Bronx","Bronx County","New York","United States","10465",NA,NA
"09/20/2015","DANGEROUS WEAPONS","MISDEMEANOR","BRONX",48,40.848281966,-73.883112359,"(40.848281966, -73.883112359)","10457",NA,2424,"2231 Southern Blvd, Bronx, NY 10460, USA","2231","Southern Boulevard","West Bronx","Bronx","Bronx County","New York","United States","10460",NA,NA
"03/07/2015","ASSAULT 3 & RELATED OFFENSES","MISDEMEANOR","BRONX",47,40.902272884,-73.852030483,"(40.902272884, -73.852030483)","10466",NA,2425,"685-687 E 240th St, Bronx, NY 10470, USA","685-687","East 240th Street","East Bronx","Bronx","Bronx County","New York","United States","10470","1526",NA
"11/02/2015","CRIMINAL MISCHIEF & RELATED OF","FELONY","BRONX",40,40.814719738,-73.930966947,"(40.814719738, -73.930966947)","10454",NA,2426,"Major Deegan Expy, Bronx, NY 10451, USA",NA,"Major Deegan Expressway","West Bronx","Bronx","Bronx County","New York","United States","10451",NA,NA
"07/16/2015","GRAND LARCENY","FELONY","BRONX",52,40.871061132,-73.892487688,"(40.871061132, -73.892487688)","10467",NA,2427,"1-15 E 198th St, Bronx, NY 10468, USA","1-15","East 198th Street","Jerome Park","Bronx","Bronx County","New York","United States","10468","1802",NA
"08/22/2015","DANGEROUS DRUGS","MISDEMEANOR","BRONX",46,40.861102075,-73.900218606,"(40.861102075, -73.900218606)","10457",NA,2428,"2420-2426 Morris Ave, Bronx, NY 10468, USA","2420-2426","Morris Avenue","West Bronx","Bronx","Bronx County","New York","United States","10468",NA,NA
"04/26/2015","GRAND LARCENY OF MOTOR VEHICLE","FELONY","BRONX",47,40.878595578,-73.868847623,"(40.878595578, -73.868847623)","10466",NA,2429,"621 E 211th St, Bronx, NY 10467, USA","621","East 211th Street","East Bronx","Bronx","Bronx County","New York","United States","10467",NA,NA
"11/30/2015","PETIT LARCENY","MISDEMEANOR","BRONX",42,40.836652522,-73.907146909,"(40.836652522, -73.907146909)","10451",NA,2430,"1400 Webster Ave, Bronx, NY 10456, USA","1400","Webster Avenue","West Bronx","Bronx","Bronx County","New York","United States","10456","1807",NA
"08/24/2015","OFFENSES AGAINST PUBLIC ADMINI","MISDEMEANOR","BRONX",50,40.872061087,-73.899562167,"(40.872061087, -73.899562167)","10461",NA,2431,"101-115 W 197th St, Bronx, NY 10468, USA","101-115","West 197th Street","West Bronx","Bronx","Bronx County","New York","United States","10468",NA,NA
"03/28/2015","FELONY ASSAULT","FELONY","BRONX",46,40.849373641,-73.91342209,"(40.849373641, -73.91342209)","10457",NA,2432,"1737 Grand Ave, Bronx, NY 10453, USA","1737","Grand Avenue","West Bronx","Bronx","Bronx County","New York","United States","10453","5547",NA
"12/08/2015","PETIT LARCENY","MISDEMEANOR","BRONX",49,40.844343656,-73.839957515,"(40.844343656, -73.839957515)","10461",NA,2433,"1000 Waters Pl, Bronx, NY 10461, USA","1000","Waters Place","Middletown - Pelham Bay","Bronx","Bronx County","New York","United States","10461",NA,NA
"03/29/2015","HARRASSMENT 2","VIOLATION","BRONX",52,40.869641539,-73.904291483,"(40.869641539, -73.904291483)","10467",NA,2434,"2647 Sedgwick Ave, Bronx, NY 10468, USA","2647","Sedgwick Avenue","West Bronx","Bronx","Bronx County","New York","United States","10468",NA,NA
"07/25/2015","PETIT LARCENY","MISDEMEANOR","BRONX",49,40.865438548,-73.867362321,"(40.865438548, -73.867362321)","10461",NA,2435,"2700-2704 White Plains Rd, Bronx, NY 10467, USA","2700-2704","White Plains Road","East Bronx","Bronx","Bronx County","New York","United States","10467",NA,NA
"06/03/2015","OFF. AGNST PUB ORD SENSBLTY &","MISDEMEANOR","BRONX",48,40.845455107,-73.888860515,"(40.845455107, -73.888860515)","10457",NA,2436,"745 E 178th St, Bronx, NY 10457, USA","745","East 178th Street","West Bronx","Bronx","Bronx County","New York","United States","10457",NA,NA
"05/13/2015","ASSAULT 3 & RELATED OFFENSES","MISDEMEANOR","BRONX",48,40.854025863,-73.887862966,"(40.854025863, -73.887862966)","10457",NA,2437,"2325 Hughes Ave, Bronx, NY 10458, USA","2325","Hughes Avenue","West Bronx","Bronx","Bronx County","New York","United States","10458",NA,NA
"08/01/2015","FELONY ASSAULT","FELONY","BRONX",40,40.807199186,-73.918353502,"(40.807199186, -73.918353502)","10454",NA,2438,"527-529 Msgr. Gerald J. Ryan Blvd, Bronx, NY 10454, USA","527-529","Msgr. Gerald J. Ryan Boulevard","West Bronx","Bronx","Bronx County","New York","United States","10454",NA,NA
"07/23/2015","ASSAULT 3 & RELATED OFFENSES","MISDEMEANOR","BRONX",47,40.87053189,-73.86429689,"(40.87053189, -73.86429689)","10466",NA,2439,"3030 Wallace Ave, Bronx, NY 10467, USA","3030","Wallace Avenue","East Bronx","Bronx","Bronx County","New York","United States","10467","8462",NA
"11/03/2015","ASSAULT 3 & RELATED OFFENSES","MISDEMEANOR","BRONX",42,40.832266079,-73.900110077,"(40.832266079, -73.900110077)","10451",NA,2440,"1335 Clinton Ave, Bronx, NY 10456, USA","1335","Clinton Avenue","West Bronx","Bronx","Bronx County","New York","United States","10456","2776",NA
"04/29/2015","PETIT LARCENY","MISDEMEANOR","BRONX",40,40.809193751,-73.925189274,"(40.809193751, -73.925189274)","10454",NA,2441,"330-350 E 137th St, Bronx, NY 10454, USA","330-350","East 137th Street","West Bronx","Bronx","Bronx County","New York","United States","10454",NA,NA
"04/22/2015","DANGEROUS WEAPONS","FELONY","BRONX",40,40.819702045,-73.901603017,"(40.819702045, -73.901603017)","10454",NA,2442,"800-832 Prospect Ave, Bronx, NY 10459, USA","800-832","Prospect Avenue","West Bronx","Bronx","Bronx County","New York","United States","10459","3926",NA
"06/28/2015","FELONY ASSAULT","FELONY","BRONX",44,40.831789145,-73.910951588,"(40.831789145, -73.910951588)","10452",NA,2443,"1171-1175 Clay Ave, Bronx, NY 10456, USA","1171-1175","Clay Avenue","West Bronx","Bronx","Bronx County","New York","United States","10456",NA,NA
"06/20/2015","PETIT LARCENY","MISDEMEANOR","BRONX",45,40.825907486,-73.821328408,"(40.825907486, -73.821328408)","10465",NA,2444,"3755-3757 E Tremont Ave, Bronx, NY 10465, USA","3755-3757","East Tremont Avenue","East Bronx","Bronx","Bronx County","New York","United States","10465","2432",NA
"12/22/2015","BURGLARY","FELONY","BRONX",43,40.83773073,-73.864996232,"(40.83773073, -73.864996232)","10473",NA,2445,"1857 Archer St, Bronx, NY 10460, USA","1857","Archer Street","East Bronx","Bronx","Bronx County","New York","United States","10460",NA,NA
"09/15/2015","HARRASSMENT 2","VIOLATION","BRONX",45,40.820799875,-73.811193183,"(40.820799875, -73.811193183)","10465",NA,2446,"3065-3075 Miles Ave, Bronx, NY 10465, USA","3065-3075","Miles Avenue","Throgs Neck","Bronx","Bronx County","New York","United States","10465",NA,NA
"05/26/2015","PETIT LARCENY","MISDEMEANOR","BRONX",49,40.863068465,-73.859225393,"(40.863068465, -73.859225393)","10461",NA,2447,"981 Mace Ave, Bronx, NY 10469, USA","981","Mace Avenue","East Bronx","Bronx","Bronx County","New York","United States","10469","4603",NA
"06/11/2015","GRAND LARCENY","FELONY","BRONX",43,40.834571583,-73.845340217,"(40.834571583, -73.845340217)","10473",NA,2448,"1260-1298 Zerega Ave, Bronx, NY 10462, USA","1260-1298","Zerega Avenue","East Bronx","Bronx","Bronx County","New York","United States","10462","5420",NA
"07/15/2015","GRAND LARCENY","FELONY","BRONX",46,40.858373133,-73.899402084,"(40.858373133, -73.899402084)","10457",NA,2449,"2331 Grand Concourse, Bronx, NY 10468, USA","2331","Grand Concourse","West Bronx","Bronx","Bronx County","New York","United States","10468",NA,NA
"03/24/2015","GRAND LARCENY","FELONY","BRONX",52,40.863338448,-73.896469785,"(40.863338448, -73.896469785)","10467",NA,2450,"2537 Grand Concourse, Bronx, NY 10468, USA","2537","Grand Concourse","West Bronx","Bronx","Bronx County","New York","United States","10468",NA,NA
"12/26/2015","CRIMINAL MISCHIEF & RELATED OF","MISDEMEANOR","BRONX",48,40.854263999,-73.887193823,"(40.854263999, -73.887193823)","10457",NA,2451,"621-633 E 186th St, Bronx, NY 10458, USA","621-633","East 186th Street","West Bronx","Bronx","Bronx County","New York","United States","10458",NA,NA
"03/30/2015","DANGEROUS WEAPONS","FELONY","BRONX",40,40.815606285,-73.914578735,"(40.815606285, -73.914578735)","10454",NA,2452,"560-570 Brook Ave, Bronx, NY 10455, USA","560-570","Brook Avenue","West Bronx","Bronx","Bronx County","New York","United States","10455","1360",NA
"12/06/2015","CRIMINAL MISCHIEF & RELATED OF","MISDEMEANOR","BRONX",41,40.818194646,-73.888913267,"(40.818194646, -73.888913267)","10459",NA,2453,"862-866 Hunts Point Ave, Bronx, NY 10474, USA","862-866","Hunts Point Avenue","West Bronx","Bronx","Bronx County","New York","United States","10474",NA,NA
"01/29/2015","CRIMINAL TRESPASS","MISDEMEANOR","BRONX",46,40.857082062,-73.901352508,"(40.857082062, -73.901352508)","10457",NA,2454,"2259 Creston Ave, Bronx, NY 10453, USA","2259","Creston Avenue","West Bronx","Bronx","Bronx County","New York","United States","10453",NA,NA
"04/30/2015","ROBBERY","FELONY","BRONX",48,40.855368889,-73.891641866,"(40.855368889, -73.891641866)","10457",NA,2455,"505-529 E 184th St, Bronx, NY 10458, USA","505-529","East 184th Street","West Bronx","Bronx","Bronx County","New York","United States","10458",NA,NA
"03/12/2015","PETIT LARCENY","MISDEMEANOR","BRONX",43,40.824148538,-73.859289663,"(40.824148538, -73.859289663)","10473",NA,2456,"1905 Story Ave, Bronx, NY 10473, USA","1905","Story Avenue","East Bronx","Bronx","Bronx County","New York","United States","10473","2705",NA
"09/23/2015","OFFENSES AGAINST THE PERSON","MISDEMEANOR","BRONX",48,40.848743492,-73.891985195,"(40.848743492, -73.891985195)","10457",NA,2457,"2089 Arthur Ave, Bronx, NY 10457, USA","2089","Arthur Avenue","West Bronx","Bronx","Bronx County","New York","United States","10457",NA,NA
"02/10/2015","MISCELLANEOUS PENAL LAW","FELONY","BRONX",40,40.820518656,-73.921339551,"(40.820518656, -73.921339551)","10454",NA,2458,"681-695 Morris Ave, Bronx, NY 10451, USA","681-695","Morris Avenue","West Bronx","Bronx","Bronx County","New York","United States","10451",NA,NA
"07/06/2015","FELONY ASSAULT","FELONY","BRONX",43,40.840341662,-73.856490653,"(40.840341662, -73.856490653)","10473",NA,2459,"1601-1641 Metropolitan Ave, Bronx, NY 10462, USA","1601-1641","Metropolitan Avenue","East Bronx","Bronx","Bronx County","New York","United States","10462",NA,NA
"02/10/2015","DANGEROUS DRUGS","MISDEMEANOR","BRONX",40,40.812975208,-73.916092168,"(40.812975208, -73.916092168)","10454",NA,2460,"511 E 146th St, Bronx, NY 10455, USA","511","East 146th Street","West Bronx","Bronx","Bronx County","New York","United States","10455",NA,NA
"01/01/2015","ROBBERY","FELONY","BRONX",48,40.855572488,-73.883688774,"(40.855572488, -73.883688774)","10457","2449 Beaumont Ave, Bronx, NY 10458, USA",2461,"2449 Beaumont Ave, Bronx, NY 10458, USA","2449","Beaumont Avenue","West Bronx","Bronx","Bronx County","New York","United States","10458","6344",NA
"11/01/2015","ROBBERY","FELONY","BRONX",42,40.835494793,-73.907820691,"(40.835494793, -73.907820691)","10451",NA,2462,"1357 Webster Ave, Bronx, NY 10456, USA","1357","Webster Avenue","West Bronx","Bronx","Bronx County","New York","United States","10456","1839",NA
"11/18/2015","OFF. AGNST PUB ORD SENSBLTY &","MISDEMEANOR","BRONX",47,40.887313634,-73.847271758,"(40.887313634, -73.847271758)","10466",NA,2463,"4111 Laconia Ave, Bronx, NY 10466, USA","4111","Laconia Avenue","East Bronx","Bronx","Bronx County","New York","United States","10466","4901",NA
"11/04/2015","GRAND LARCENY","FELONY","BRONX",47,40.876320141,-73.848598777,"(40.876320141, -73.848598777)","10466",NA,2464,"3449 Boston Rd, Bronx, NY 10469, USA","3449","Boston Road","East Bronx","Bronx","Bronx County","New York","United States","10469","2508",NA
"08/02/2015","ASSAULT 3 & RELATED OFFENSES","MISDEMEANOR","BRONX",44,40.834502766,-73.91337278,"(40.834502766, -73.91337278)","10452",NA,2465,"1256 Morris Ave, Bronx, NY 10456, USA","1256","Morris Avenue","West Bronx","Bronx","Bronx County","New York","United States","10456",NA,NA
"12/21/2015","CRIMINAL MISCHIEF & RELATED OF","MISDEMEANOR","BRONX",47,40.874433271,-73.860669394,"(40.874433271, -73.860669394)","10466",NA,2466,"901-919 Magenta St, Bronx, NY 10469, USA","901-919","Magenta Street","East Bronx","Bronx","Bronx County","New York","United States","10469","3713",NA
"06/30/2015","VEHICLE AND TRAFFIC LAWS","MISDEMEANOR","BRONX",44,40.826524475,-73.917939553,"(40.826524475, -73.917939553)","10452",NA,2467,"269 E 162nd St, Bronx, NY 10451, USA","269","East 162nd Street","West Bronx","Bronx","Bronx County","New York","United States","10451",NA,NA
"04/02/2015","MISCELLANEOUS PENAL LAW","FELONY","BRONX",49,40.84637013,-73.866536503,"(40.84637013, -73.866536503)","10461",NA,2468,"1835 White Plains Rd, Bronx, NY 10462, USA","1835","White Plains Road","East Bronx","Bronx","Bronx County","New York","United States","10462",NA,NA
"12/02/2015","GRAND LARCENY","FELONY","BRONX",43,40.828629429,-73.867515191,"(40.828629429, -73.867515191)","10473",NA,2469,"1150 Commonwealth Ave, Bronx, NY 10472, USA","1150","Commonwealth Avenue","East Bronx","Bronx","Bronx County","New York","United States","10472","4603",NA
"05/16/2015","CRIMINAL MISCHIEF & RELATED OF","MISDEMEANOR","BRONX",46,40.84671922,-73.906037692,"(40.84671922, -73.906037692)","10457",NA,2470,"237 E 175th St, Bronx, NY 10457, USA","237","East 175th Street","West Bronx","Bronx","Bronx County","New York","United States","10457",NA,NA
"08/26/2015","HARRASSMENT 2","VIOLATION","BRONX",45,40.814499585,-73.820795458,"(40.814499585, -73.820795458)","10465",NA,2471,"200 Huntington Ave, Bronx, NY 10465, USA","200","Huntington Avenue","East Bronx","Bronx","Bronx County","New York","United States","10465","3259",NA
"04/17/2015","GRAND LARCENY OF MOTOR VEHICLE","FELONY","BRONX",45,40.88262959,-73.826705396,"(40.88262959, -73.826705396)","10465",NA,2472,"2284 Tillotson Ave, Bronx, NY 10475, USA","2284","Tillotson Avenue","East Bronx","Bronx","Bronx County","New York","United States","10475",NA,NA
"08/13/2015","GRAND LARCENY","FELONY","BRONX",43,40.832663967,-73.877260393,"(40.832663967, -73.877260393)","10473",NA,2473,"1334 Manor Ave, Bronx, NY 10472, USA","1334","Manor Avenue","East Bronx","Bronx","Bronx County","New York","United States","10472",NA,NA
"02/15/2015","CRIMINAL MISCHIEF & RELATED OF","MISDEMEANOR","BRONX",48,40.839466746,-73.889481288,"(40.839466746, -73.889481288)","10457",NA,2474,"861 Crotona Park N, Bronx, NY 10460, USA","861","Crotona Park North","West Bronx","Bronx","Bronx County","New York","United States","10460","4738",NA
"03/06/2015","ASSAULT 3 & RELATED OFFENSES","MISDEMEANOR","BRONX",46,40.850049605,-73.900741228,"(40.850049605, -73.900741228)","10457",NA,2475,"1966-1998 Valentine Ave, Bronx, NY 10457, USA","1966-1998","Valentine Avenue","West Bronx","Bronx","Bronx County","New York","United States","10457",NA,NA
"06/09/2015","CRIMINAL MISCHIEF & RELATED OF","MISDEMEANOR","BRONX",44,40.829363293,-73.919045385,"(40.829363293, -73.919045385)","10452",NA,2476,"200 E 164th St, Bronx, NY 10456, USA","200","East 164th Street","West Bronx","Bronx","Bronx County","New York","United States","10456",NA,NA
"05/21/2015","THEFT-FRAUD","FELONY","BRONX",44,40.830996292,-73.922895448,"(40.830996292, -73.922895448)","10452",NA,2477,"1014-1020 Gerard Ave, Bronx, NY 10452, USA","1014-1020","Gerard Avenue","West Bronx","Bronx","Bronx County","New York","United States","10452",NA,NA
"10/07/2015","DANGEROUS WEAPONS","FELONY","BRONX",40,40.816088874,-73.917688689,"(40.816088874, -73.917688689)","10454",NA,2478,"399E E 149th St, Bronx, NY 10455, USA","399E","East 149th Street","West Bronx","Bronx","Bronx County","New York","United States","10455",NA,NA
"04/04/2015","OFFENSES AGAINST PUBLIC ADMINI","MISDEMEANOR","BRONX",41,40.791151867,-73.884371919,"(40.791151867, -73.884371919)","10459",NA,2479,"15-0 Hazen St, East Elmhurst, NY 11370, USA","15-0","Hazen Street","East Elmhurst","Bronx","Bronx County","New York","United States","11370",NA,NA
"05/05/2015","DANGEROUS DRUGS","MISDEMEANOR","BRONX",43,40.826992634,-73.87153287,"(40.826992634, -73.87153287)","10473",NA,2480,"1661 Watson Ave, Bronx, NY 10472, USA","1661","Watson Avenue","East Bronx","Bronx","Bronx County","New York","United States","10472",NA,NA
"01/28/2015","ASSAULT 3 & RELATED OFFENSES","MISDEMEANOR","BRONX",43,40.828551394,-73.84870747,"(40.828551394, -73.84870747)","10473",NA,2481,"2241 Chatterton Ave, Bronx, NY 10472, USA","2241","Chatterton Avenue","East Bronx","Bronx","Bronx County","New York","United States","10472","6307",NA
"03/02/2015","PETIT LARCENY","MISDEMEANOR","BRONX",45,40.867326052,-73.831011607,"(40.867326052, -73.831011607)","10465",NA,2482,"314-328 Baychester Ave, Bronx, NY 10475, USA","314-328","Baychester Avenue","East Bronx","Bronx","Bronx County","New York","United States","10475",NA,NA
"11/19/2015","DANGEROUS DRUGS","FELONY","BRONX",52,40.863338448,-73.896469785,"(40.863338448, -73.896469785)","10467",NA,2483,"2537 Grand Concourse, Bronx, NY 10468, USA","2537","Grand Concourse","West Bronx","Bronx","Bronx County","New York","United States","10468",NA,NA
"01/11/2015","FELONY ASSAULT","FELONY","BRONX",52,40.87169257,-73.884141475,"(40.87169257, -73.884141475)","10467","280 E 201st St, Bronx, NY 10458, USA",2484,"280 E 201st St, Bronx, NY 10458, USA","280","East 201st Street","West Bronx","Bronx","Bronx County","New York","United States","10458","1806",NA
"10/04/2015","ASSAULT 3 & RELATED OFFENSES","MISDEMEANOR","BRONX",46,40.856183319,-73.903146843,"(40.856183319, -73.903146843)","10457",NA,2485,"2185 Morris Ave, Bronx, NY 10453, USA","2185","Morris Avenue","West Bronx","Bronx","Bronx County","New York","United States","10453","2510",NA
"10/15/2015","CRIMINAL MISCHIEF & RELATED OF","MISDEMEANOR","BRONX",43,40.836769255,-73.855262415,"(40.836769255, -73.855262415)","10473",NA,2486,"1508-1598 Olmstead Ave, Bronx, NY 10462, USA","1508-1598","Olmstead Avenue","East Bronx","Bronx","Bronx County","New York","United States","10462","4205",NA
"12/07/2015","OFFENSES AGAINST PUBLIC ADMINI","MISDEMEANOR","BRONX",44,40.832722032,-73.917924682,"(40.832722032, -73.917924682)","10452",NA,2487,"183 McClellan St, Bronx, NY 10456, USA","183","McClellan Street","West Bronx","Bronx","Bronx County","New York","United States","10456",NA,NA
"01/16/2015","ASSAULT 3 & RELATED OFFENSES","MISDEMEANOR","BRONX",41,40.811143907,-73.886562474,"(40.811143907, -73.886562474)","10459","531 Coster St, Bronx, NY 10474, USA",2488,"531 Coster St, Bronx, NY 10474, USA","531","Coster Street","West Bronx","Bronx","Bronx County","New York","United States","10474",NA,NA
"09/09/2015","CRIMINAL MISCHIEF & RELATED OF","MISDEMEANOR","BRONX",47,40.875244684,-73.851063697,"(40.875244684, -73.851063697)","10466",NA,2489,"3390 Boston Rd, Bronx, NY 10469, USA","3390","Boston Road","East Bronx","Bronx","Bronx County","New York","United States","10469","2404",NA
"07/22/2015","GRAND LARCENY","FELONY","BRONX",52,40.867001467,-73.889312599,"(40.867001467, -73.889312599)","10467",NA,2490,"310-312 E 197th St, Bronx, NY 10458, USA","310-312","East 197th Street","West Bronx","Bronx","Bronx County","New York","United States","10458","3604",NA
"03/14/2015","INTOXICATED & IMPAIRED DRIVING","MISDEMEANOR","BRONX",49,40.856765515,-73.862860921,"(40.856765515, -73.862860921)","10461",NA,2491,"824 Pelham Pkwy S, Bronx, NY 10462, USA","824","Pelham Parkway South","East Bronx","Bronx","Bronx County","New York","United States","10462",NA,NA
"07/18/2015","ASSAULT 3 & RELATED OFFENSES","MISDEMEANOR","BRONX",49,40.867606245,-73.869227235,"(40.867606245, -73.869227235)","10461",NA,2492,"2801-2911 Barker Ave, Bronx, NY 10467, USA","2801-2911","Barker Avenue","East Bronx","Bronx","Bronx County","New York","United States","10467",NA,NA
"04/23/2015","ROBBERY","FELONY","BRONX",47,40.875247292,-73.85971669,"(40.875247292, -73.85971669)","10466",NA,2493,"911 E Gun Hill Rd, Bronx, NY 10469, USA","911","East Gun Hill Road","East Bronx","Bronx","Bronx County","New York","United States","10469",NA,NA
