"","RPT_DT","OFNS_DESC","LAW_CAT_CD","BORO_NM","ADDR_PCT_CD","Latitude","Longitude","Lat_Lon","id","address","street_number","route","neighborhood","political","administrative_area_level_2","administrative_area_level_1","country","postal_code","postal_code_suffix","locality","X[[i]]"
"32594","05/11/2015","ASSAULT 3 & RELATED OFFENSES","MISDEMEANOR","BRONX",42,40.824267332,-73.909295973,"(40.824267332, -73.909295973)",33,"507B E 163rd St, Bronx, NY 10456, USA","507B","East 163rd Street","Morrisania","Bronx","Bronx County","New York","United States","10456",NA,NA,NA
"82178","10/21/2015","GRAND LARCENY","FELONY","BRONX",52,40.873671035,-73.908013649,"(40.873671035, -73.908013649)",34,"31-49 W 225th St, Bronx, NY 10463, USA","31-49","West 225th Street","West Bronx","Bronx","New York County","New York","United States","10463",NA,"New York",NA
"22995","04/07/2015","ROBBERY","FELONY","BRONX",52,40.883125242,-73.879774651,"(40.883125242, -73.879774651)",35,"3535 Dekalb Ave, Bronx, NY 10467, USA","3535","Dekalb Avenue","West Bronx","Bronx","Bronx County","New York","United States","10467",NA,NA,NA
"96848","12/14/2015","ROBBERY","FELONY","BRONX",47,40.870517061,-73.863360453,"(40.870517061, -73.863360453)",36,"3029 Barnes Ave, Bronx, NY 10467, USA","3029","Barnes Avenue","East Bronx","Bronx","Bronx County","New York","United States","10467","8581",NA,NA
"12197","02/25/2015","FELONY ASSAULT","FELONY","BRONX",46,40.853587401,-73.900591356,"(40.853587401, -73.900591356)",37,"2105 Ryer Ave, Bronx, NY 10457, USA","2105","Ryer Avenue","West Bronx","Bronx","Bronx County","New York","United States","10457",NA,NA,NA
"3257","01/15/2015","BURGLARY","FELONY","BRONX",48,40.842410209,-73.885023732,"(40.842410209, -73.885023732)",38,"891 E Tremont Ave, Bronx, NY 10460, USA","891","East Tremont Avenue","West Bronx","Bronx","Bronx County","New York","United States","10460",NA,NA,NA
"100380","12/29/2015","FELONY ASSAULT","FELONY","BRONX",46,40.848264712,-73.909751208,"(40.848264712, -73.909751208)",39,"1859 Walton Ave, Bronx, NY 10453, USA","1859","Walton Avenue","West Bronx","Bronx","Bronx County","New York","United States","10453",NA,NA,NA
"28976","04/28/2015","OFFENSES AGAINST PUBLIC ADMINI","MISDEMEANOR","BRONX",41,40.822991576,-73.89687219,"(40.822991576, -73.89687219)",40,"985-993 Intervale Ave, Bronx, NY 10459, USA","985-993","Intervale Avenue","West Bronx","Bronx","Bronx County","New York","United States","10459",NA,NA,NA
"89513","11/18/2015","THEFT-FRAUD","FELONY","BRONX",47,40.88584607,-73.845842979,"(40.88584607, -73.845842979)",41,"1112-1122 229th St Dr S, Bronx, NY 10466, USA","1112-1122","229th Street Drive South","East Bronx","Bronx","Bronx County","New York","United States","10466",NA,NA,NA
"98159","12/19/2015","PETIT LARCENY","MISDEMEANOR","BRONX",40,40.818069042,-73.905001513,"(40.818069042, -73.905001513)",42,"759 Westchester Ave, Bronx, NY 10455, USA","759","Westchester Avenue","West Bronx","Bronx","Bronx County","New York","United States","10455",NA,NA,NA
"72317","09/18/2015","DANGEROUS DRUGS","MISDEMEANOR","BRONX",52,40.864694331,-73.899576908,"(40.864694331, -73.899576908)",43,"2543-2545 Jerome Ave, Bronx, NY 10468, USA","2543-2545","Jerome Avenue","West Bronx","Bronx","Bronx County","New York","United States","10468",NA,NA,NA
"58506","08/05/2015","FELONY ASSAULT","FELONY","BRONX",52,40.861186817,-73.90635708,"(40.861186817, -73.90635708)",44,"2305 University Ave, Bronx, NY 10468, USA","2305","University Avenue","West Bronx","Bronx","Bronx County","New York","United States","10468",NA,NA,NA
"92518","11/28/2015","DANGEROUS DRUGS","MISDEMEANOR","BRONX",48,40.847249318,-73.890867145,"(40.847249318, -73.890867145)",45,"2010 Belmont Ave, Bronx, NY 10457, USA","2010","Belmont Avenue","West Bronx","Bronx","Bronx County","New York","United States","10457","4933",NA,NA
"96413","12/12/2015","GRAND LARCENY","FELONY","BRONX",40,40.804704273,-73.922387696,"(40.804704273, -73.922387696)",46,"100 Brown Pl, Bronx, NY 10454, USA","100","Brown Place","West Bronx","Bronx","Bronx County","New York","United States","10454",NA,NA,NA
"83383","10/25/2015","HARRASSMENT 2","VIOLATION","BRONX",43,40.819431994,-73.845552435,"(40.819431994, -73.845552435)",47,"2275 Randall Ave, Bronx, NY 10473, USA","2275","Randall Avenue","East Bronx","Bronx","Bronx County","New York","United States","10473",NA,NA,NA
"71468","09/15/2015","ROBBERY","FELONY","BRONX",47,40.879812514,-73.851574199,"(40.879812514, -73.851574199)",48,"1138 E 219th St, Bronx, NY 10469, USA","1138","East 219th Street","East Bronx","Bronx","Bronx County","New York","United States","10469","1504",NA,NA
"79710","10/13/2015","FRAUDS","MISDEMEANOR","BRONX",41,40.816087661,-73.895824354,"(40.816087661, -73.895824354)",49,"1035-1059 Peace Officers Memorial Ln, Bronx, NY 10459, USA","1035-1059","Peace Officers Memorial Lane","West Bronx","Bronx","Bronx County","New York","United States","10459","5204",NA,NA
"74703","09/29/2015","GRAND LARCENY","FELONY","BRONX",44,40.837778868,-73.919450746,"(40.837778868, -73.919450746)",50,"2 E 169th St, Bronx, NY 10452, USA","2","East 169th Street","West Bronx","Bronx","Bronx County","New York","United States","10452","7800",NA,NA
"36107","05/22/2015","GRAND LARCENY","FELONY","BRONX",44,40.835079193,-73.917159266,"(40.835079193, -73.917159266)",51,"1227 Grand Concourse, Bronx, NY 10452, USA","1227","Grand Concourse","West Bronx","Bronx","Bronx County","New York","United States","10452",NA,NA,NA
"94481","12/05/2015","GRAND LARCENY","FELONY","BRONX",44,40.840234138,-73.917684114,"(40.840234138, -73.917684114)",52,"1398 Jerome Ave, Bronx, NY 10452, USA","1398","Jerome Avenue","West Bronx","Bronx","Bronx County","New York","United States","10452",NA,NA,NA
"21925","04/12/2015","OFF. AGNST PUB ORD SENSBLTY &","MISDEMEANOR","BRONX",46,40.855589815,-73.902377735,"(40.855589815, -73.902377735)",53,"2151-2191 Creston Ave, Bronx, NY 10453, USA","2151-2191","Creston Avenue","West Bronx","Bronx","Bronx County","New York","United States","10453",NA,NA,NA
"86838","11/08/2015","CRIMINAL MISCHIEF & RELATED OF","MISDEMEANOR","BRONX",40,40.817050401,-73.922926056,"(40.817050401, -73.922926056)",54,"528A Morris Ave, Bronx, NY 10451, USA","528A","Morris Avenue","West Bronx","Bronx","Bronx County","New York","United States","10451",NA,NA,NA
"31817","05/08/2015","PETIT LARCENY","MISDEMEANOR","BRONX",41,40.822039935,-73.891732267,"(40.822039935, -73.891732267)",55,"971 Southern Blvd, Bronx, NY 10459, USA","971","Southern Boulevard","West Bronx","Bronx","Bronx County","New York","United States","10459","3401",NA,NA
"70511","09/13/2015","ASSAULT 3 & RELATED OFFENSES","MISDEMEANOR","BRONX",49,40.855055491,-73.858259109,"(40.855055491, -73.858259109)",56,"2122 Lurting Ave, Bronx, NY 10461, USA","2122","Lurting Avenue","East Bronx","Bronx","Bronx County","New York","United States","10461","1214",NA,NA
"90984","11/22/2015","PETIT LARCENY","MISDEMEANOR","BRONX",43,40.830442538,-73.871349147,"(40.830442538, -73.871349147)",57,"1688 Westchester Ave, Bronx, NY 10472, USA","1688","Westchester Avenue","East Bronx","Bronx","Bronx County","New York","United States","10472","3010",NA,NA
"63255","08/20/2015","ASSAULT 3 & RELATED OFFENSES","MISDEMEANOR","BRONX",43,40.823387291,-73.87017045,"(40.823387291, -73.87017045)",58,"926 Fteley Ave, Bronx, NY 10473, USA","926","Fteley Avenue","East Bronx","Bronx","Bronx County","New York","United States","10473","4006",NA,NA
"77837","10/08/2015","MISCELLANEOUS PENAL LAW","FELONY","BRONX",42,40.826509848,-73.899464709,"(40.826509848, -73.899464709)",59,"819 E 167th St, Bronx, NY 10459, USA","819","East 167th Street","West Bronx","Bronx","Bronx County","New York","United States","10459",NA,NA,NA
"56853","07/31/2015","HARRASSMENT 2","VIOLATION","BRONX",47,40.879330752,-73.868491786,"(40.879330752, -73.868491786)",60,"3554 Bronx Blvd, Bronx, NY 10467, USA","3554","Bronx Boulevard","East Bronx","Bronx","Bronx County","New York","United States","10467","5401",NA,NA
"65395","08/28/2015","HARRASSMENT 2","VIOLATION","BRONX",47,40.88367976,-73.833450905,"(40.88367976, -73.833450905)",61,"3555 Bivona St, Bronx, NY 10475, USA","3555","Bivona Street","East Bronx","Bronx","Bronx County","New York","United States","10475",NA,NA,NA
"81919","10/20/2015","OFF. AGNST PUB ORD SENSBLTY &","MISDEMEANOR","BRONX",49,40.848924528,-73.868118157,"(40.848924528, -73.868118157)",62,"665 Sagamore St, Bronx, NY 10462, USA","665","Sagamore Street","East Bronx","Bronx","Bronx County","New York","United States","10462",NA,NA,NA
"49488","07/07/2015","ASSAULT 3 & RELATED OFFENSES","MISDEMEANOR","BRONX",47,40.88515427,-73.845739704,"(40.88515427, -73.845739704)",63,"557-811 229th St Dr S, Bronx, NY 10466, USA","557-811","229th Street Drive South","East Bronx","Bronx","Bronx County","New York","United States","10466",NA,NA,NA
"83149","10/26/2015","ASSAULT 3 & RELATED OFFENSES","MISDEMEANOR","BRONX",41,40.81686833,-73.882748449,"(40.81686833, -73.882748449)",64,"723-741 Edgewater Rd, Bronx, NY 10474, USA","723-741","Edgewater Road","West Bronx","Bronx","Bronx County","New York","United States","10474",NA,NA,NA
"18211","03/19/2015","GRAND LARCENY","FELONY","BRONX",46,40.853922203,-73.903768267,"(40.853922203, -73.903768267)",65,"2078 Creston Ave, Bronx, NY 10453, USA","2078","Creston Avenue","West Bronx","Bronx","Bronx County","New York","United States","10453",NA,NA,NA
"69166","09/10/2015","OFFENSES AGAINST PUBLIC ADMINI","MISDEMEANOR","BRONX",45,40.823772033,-73.826685244,"(40.823772033, -73.826685244)",66,"2753-2769 Randall Ave, Bronx, NY 10465, USA","2753-2769","Randall Avenue","East Bronx","Bronx","Bronx County","New York","United States","10465",NA,NA,NA
"53406","07/20/2015","GAMBLING","MISDEMEANOR","BRONX",40,40.806538101,-73.918910596,"(40.806538101, -73.918910596)",67,"525 E 137th St, Bronx, NY 10454, USA","525","East 137th Street","West Bronx","Bronx","Bronx County","New York","United States","10454","4202",NA,NA
"46421","06/29/2015","HARRASSMENT 2","VIOLATION","BRONX",52,40.864183352,-73.902231352,"(40.864183352, -73.902231352)",68,"2484-2492 Grand Ave, Bronx, NY 10468, USA","2484-2492","Grand Avenue","West Bronx","Bronx","Bronx County","New York","United States","10468","5101",NA,NA
"24881","04/14/2015","DANGEROUS DRUGS","MISDEMEANOR","BRONX",52,40.876174729,-73.88150844,"(40.876174729, -73.88150844)",69,"149 E Mosholu Pkwy N, Bronx, NY 10467, USA","149","East Mosholu Parkway North","West Bronx","Bronx","Bronx County","New York","United States","10467",NA,NA,NA
"92997","12/01/2015","PETIT LARCENY","MISDEMEANOR","BRONX",44,40.838074314,-73.914278841,"(40.838074314, -73.914278841)",70,"1362 Grand Concourse, Bronx, NY 10456, USA","1362","Grand Concourse","West Bronx","Bronx","Bronx County","New York","United States","10456",NA,NA,NA
"64450","08/26/2015","HARRASSMENT 2","VIOLATION","BRONX",45,40.819977565,-73.816987096,"(40.819977565, -73.816987096)",71,"2915-2917 Gerber Pl, Bronx, NY 10465, USA","2915-2917","Gerber Place","East Bronx","Bronx","Bronx County","New York","United States","10465","3019",NA,NA
"7134","02/01/2015","INTOXICATED & IMPAIRED DRIVING","MISDEMEANOR","BRONX",50,40.874611044,-73.909690138,"(40.874611044, -73.909690138)",72,"96 W 225th St, Bronx, NY 10463, USA","96","West 225th Street","West Bronx","Bronx","New York County","New York","United States","10463",NA,"New York",NA
"90733","11/21/2015","PETIT LARCENY","MISDEMEANOR","BRONX",47,40.898621903,-73.867386534,"(40.898621903, -73.867386534)",73,"4305 Katonah Ave, Bronx, NY 10470, USA","4305","Katonah Avenue","East Bronx","Bronx","Bronx County","New York","United States","10470","2015",NA,NA
"38679","05/31/2015","FELONY ASSAULT","FELONY","BRONX",40,40.805722788,-73.926927022,"(40.805722788, -73.926927022)",74,"498 E 132nd St, Bronx, NY 10454, USA","498","East 132nd Street","West Bronx","Bronx","Bronx County","New York","United States","10454","4510",NA,NA
"18244","03/19/2015","OFFENSES AGAINST PUBLIC ADMINI","MISDEMEANOR","BRONX",47,40.886742638,-73.849283892,"(40.886742638, -73.849283892)",75,"1033 E 228th St, Bronx, NY 10466, USA","1033","East 228th Street","East Bronx","Bronx","Bronx County","New York","United States","10466","4819",NA,NA
"48810","07/05/2015","PETIT LARCENY","MISDEMEANOR","BRONX",40,40.812699137,-73.921619736,"(40.812699137, -73.921619736)",76,"375 E 143rd St, Bronx, NY 10454, USA","375","East 143rd Street","West Bronx","Bronx","Bronx County","New York","United States","10454","1258",NA,NA
"51117","07/12/2015","DANGEROUS DRUGS","MISDEMEANOR","BRONX",52,40.866845822,-73.899172338,"(40.866845822, -73.899172338)",77,"2623 Davidson Ave, Bronx, NY 10468, USA","2623","Davidson Avenue","West Bronx","Bronx","Bronx County","New York","United States","10468","4103",NA,NA
"55478","07/26/2015","DANGEROUS DRUGS","MISDEMEANOR","BRONX",44,40.832151923,-73.927284653,"(40.832151923, -73.927284653)",78,"1000 Anderson Ave, Bronx, NY 10452, USA","1000","Anderson Avenue","West Bronx","Bronx","Bronx County","New York","United States","10452",NA,NA,NA
"96234","12/13/2015","BURGLARY","FELONY","BRONX",44,40.836266064,-73.911328663,"(40.836266064, -73.911328663)",79,"1335 College Ave, Bronx, NY 10456, USA","1335","College Avenue","West Bronx","Bronx","Bronx County","New York","United States","10456",NA,NA,NA
"47325","06/30/2015","OFF. AGNST PUB ORD SENSBLTY &","MISDEMEANOR","BRONX",43,40.817941833,-73.847785022,"(40.817941833, -73.847785022)",80,"515-575 Castle Hill Ave, Bronx, NY 10473, USA","515-575","Castle Hill Avenue","East Bronx","Bronx","Bronx County","New York","United States","10473",NA,NA,NA
"16460","03/16/2015","HARRASSMENT 2","VIOLATION","BRONX",44,40.822060225,-73.923996949,"(40.822060225, -73.923996949)",81,"741 Concourse Village W, Bronx, NY 10451, USA","741","Concourse Village West","Fleetwood - Concourse Village","Bronx","Bronx County","New York","United States","10451",NA,NA,NA
"77315","10/05/2015","HARRASSMENT 2","VIOLATION","BRONX",45,40.877210342,-73.829572602,"(40.877210342, -73.829572602)",82,"150-169 Dreiser Loop, Bronx, NY 10475, USA","150-169","Dreiser Loop","East Bronx","Bronx","Bronx County","New York","United States","10475",NA,NA,NA
"87261","11/08/2015","ASSAULT 3 & RELATED OFFENSES","MISDEMEANOR","BRONX",49,40.84637013,-73.866536503,"(40.84637013, -73.866536503)",83,"1835 White Plains Rd, Bronx, NY 10462, USA","1835","White Plains Road","East Bronx","Bronx","Bronx County","New York","United States","10462",NA,NA,NA
"63693","08/21/2015","ASSAULT 3 & RELATED OFFENSES","MISDEMEANOR","BRONX",40,40.816325579,-73.918616876,"(40.816325579, -73.918616876)",84,"370 E 149th St, Bronx, NY 10455, USA","370","East 149th Street","West Bronx","Bronx","Bronx County","New York","United States","10455",NA,NA,NA
"86460","11/05/2015","ASSAULT 3 & RELATED OFFENSES","MISDEMEANOR","BRONX",47,40.875247292,-73.85971669,"(40.875247292, -73.85971669)",85,"911 E Gun Hill Rd, Bronx, NY 10469, USA","911","East Gun Hill Road","East Bronx","Bronx","Bronx County","New York","United States","10469",NA,NA,NA
"13355","02/28/2015","CRIMINAL MISCHIEF & RELATED OF","MISDEMEANOR","BRONX",48,40.857121691,-73.890514753,"(40.857121691, -73.890514753)",86,"502 E 187th St, Bronx, NY 10458, USA","502","East 187th Street","West Bronx","Bronx","Bronx County","New York","United States","10458",NA,NA,NA
"87092","11/12/2015","INTOXICATED & IMPAIRED DRIVING","MISDEMEANOR","BRONX",48,40.842273246,-73.872240652,"(40.842273246, -73.872240652)",87,"Bronx River Pkwy, Bronx, NY 10460, USA",NA,"Bronx River Parkway",NA,"Bronx","Bronx County","New York","United States","10460",NA,NA,NA
"9830","02/13/2015","HARRASSMENT 2","VIOLATION","BRONX",52,40.871352234,-73.886915347,"(40.871352234, -73.886915347)",88,"232 Bedford Park Blvd, Bronx, NY 10458, USA","232","Bedford Park Boulevard","West Bronx","Bronx","Bronx County","New York","United States","10458","2502",NA,NA
"24729","04/15/2015","PETIT LARCENY","MISDEMEANOR","BRONX",43,40.827313476,-73.878874593,"(40.827313476, -73.878874593)",89,"1141 Elder Ave, Bronx, NY 10472, USA","1141","Elder Avenue","East Bronx","Bronx","Bronx County","New York","United States","10472",NA,NA,NA
"36918","05/25/2015","HARRASSMENT 2","VIOLATION","BRONX",41,40.826751699,-73.88789809,"(40.826751699, -73.88789809)",90,"1120 Longfellow Ave, Bronx, NY 10459, USA","1120","Longfellow Avenue","West Bronx","Bronx","Bronx County","New York","United States","10459",NA,NA,NA
"63971","08/22/2015","PETIT LARCENY","MISDEMEANOR","BRONX",40,40.807199186,-73.918353502,"(40.807199186, -73.918353502)",91,"527-529 Msgr. Gerald J. Ryan Blvd, Bronx, NY 10454, USA","527-529","Msgr. Gerald J. Ryan Boulevard","West Bronx","Bronx","Bronx County","New York","United States","10454",NA,NA,NA
"51783","07/16/2015","BURGLARY","FELONY","BRONX",49,40.867874029,-73.865795541,"(40.867874029, -73.865795541)",92,"731 Arnow Ave, Bronx, NY 10467, USA","731","Arnow Avenue","East Bronx","Bronx","Bronx County","New York","United States","10467","8708",NA,NA
"22873","04/06/2015","ASSAULT 3 & RELATED OFFENSES","MISDEMEANOR","BRONX",46,40.858397988,-73.902782113,"(40.858397988, -73.902782113)",93,"2295 Walton Ave, Bronx, NY 10468, USA","2295","Walton Avenue","West Bronx","Bronx","Bronx County","New York","United States","10468",NA,NA,NA
"33098","05/14/2015","GRAND LARCENY OF MOTOR VEHICLE","FELONY","BRONX",49,40.860009166,-73.83903411,"(40.860009166, -73.83903411)",94,"2327 Kingsland Ave, Bronx, NY 10469, USA","2327","Kingsland Avenue","East Bronx","Bronx","Bronx County","New York","United States","10469","6309",NA,NA
"9710","03/05/2015","GRAND LARCENY","FELONY","BRONX",44,40.832895381,-73.926716496,"(40.832895381, -73.926716496)",95,"1020-1034 Anderson Ave, Bronx, NY 10452, USA","1020-1034","Anderson Avenue","West Bronx","Bronx","Bronx County","New York","United States","10452",NA,NA,NA
